,0
85,"
    sıradan vatandaşı öyle sanıyorum ki çok da etkilemeyecek olan bir olaydır. şimdi berbat bir şey gören adam için daha berbat bir şey sanırım çok da önemli değildir. biliyorsunuz kamu hizmetleri her ne kadar herkesin faydalanması üzerine kurulu olsa da kamu hizmetlerinden de belli bir kesim faydalanabiliyor. hastaneye giden sıradan bir vatandaş için ameliyat sırası gelmez de gelmez ama başkası içinse her şey bir anda oluverir. umarım gitmezler ve sağlık sistemi düzelir ama sıradan vatandaşlar için yani çoğunluk için bir şey değişmeyecek kötünün de kötüsüne maruz kalacaklar, o kadar.
  "
86,"
    bir seviyeye kadar okumusunun bile kök neden analizi yapamadigi, veri olmadan cozum önerdiği, düşünmeyi bilgi uretmek sanan insanlar topluluğuna ne desen ne anlatsan önüne ne koyarsan boş.yinede geldigimiz noktanın ana sebebi (bkz: sağlıkta dönüşüm projesi) akp nin 20 yıl once allayıp pullayip dune kadar iftihar ettigi proje. kac yıldır dedik durduk tekrar etmeyeceğim sonuclarıni beraber yaşıyoruz.vahom bir hata da hekimler saglık sektöründe ne planlayıcı ne yönetici. bashekiminden il saglık mudurlerine sektörüne hatta saglıl bakanina hepsi uygulayıcı.sistemin yaratanı ve yoneticisi olmayan hekimlerin hunharca suclanir olması ayri bir saçmalık. bu sağlıkta dönüşüm projesi hekim ile halkı karsi karsiya getirecek dedik hem de 20 yil once dedik, üstelik her sey gülluk gulustanlık gitmeye devam ederken de dedik. ne degisti kacinilmaz olan degismedi.kolay olan görünür olani suçlamak. akli olan veriyle kök nede analizi yapar ve kaynagına ulaşır.
  "
87,"
    sadece doktorlara özgü değildir.bu hekim göçü değildir beyin göçüdür. sadece doktorlar başka ülkeye gitmek onlar için daha zor olduğundan gitmemek için kendilerini zorluyor, ses yükseltiyor. halbuki diğerleri sessiz sedasız ülkeyi terketmek için sıraya girdi bile.
  "
88,"
kavimler göçü atalarımız vizigotları anlasa bu sorun oluşmazdı.
  "
89,"
    bu konu hakkında daha önce de yazmıştım, hekimlerin sonuna kadar haklı oldukları göçtür. biri de şuursuzca 15-20 yıl zorunlu çalışsınlar demiş. bu derece cahillikle başınıza gelenleri hak ediyorsunuz yeminle. kıt beyinli o zaman kim 15-20 yıl zorunlu olarak çalışacağı bir dalı seçer? her meslekte olduğu gibi doktorlukta da para önemlidir. kazanç önemlidir. neden olmasın? hangimiz dal seçerken bize en çok kazandıracak, geçinebileceğimiz dalı seçmeye çalışmıyoruz? kimse iyi bir mesleğe sahip olduğu ve bunun karşılığını istediği için utanmamalı. sen doktorları özele kaçırmak için her şeyi yap sonra devlet hastanelerinde doktor kalmayınca niye özele kaçıyorsunuz diye havla ki kimse seni suçlamasın. sen ameliyat olmak zorunda kalınca kanunu büküp en iyi hocaya ameliyat ol, vatandaş seçeneği olmadığı için özele adım atıp kredi borcuyla çıksın. sağlıkta şiddettin ülkedeki tüm zamanların en üst seviyesine çıkmasına izin ver, vatandaş doktor dövebildiğini söyleyerek övünsün, resmi kanallarda bile açık açık doktoru tehdit edebilsin ama ceza almasın, sonra doktorlar şartların iyileşmesini isteyince aman efendim bunu nasıl talep eder.. unutmayın, bir gün eninde sonunda bir doktorun eline düşeceksiniz ya da dünyalar kadar sevdiğiniz biri düşecek. koca istanbul'da kaç tane kalp damar cerrahı kalmış bilmek zorunda kalacağınız gün gelebilir. o zaman bunları hatırlayın.
  "
90,"
    (bkz: #140832740) bence de gitmelisin. bu dilbilgisi ve imla ile bu topraklarda işin zor *
"
91,"
    bir tek estetik cerrahları göç etmez herhalde bizim kızlardan daha çirkinlerini orada bulamazlar kala kala estetikçilere kalacağız onlara öğretelim bir iki değişik ameliyat falan.
  "
92,"
    yakınen tanık olduğum bir olayı kısaca anlatayım;çapa mezunu bir (kanser cerrahı) arkadaşım, asistanlık esnasında ev alamadığını, mevcut maaş ile ev alamayacağını ve iki kızının geleceğinden endişe ettiğini bildirerek (1 yıllık bir sürede dil ve teori sinavlarini verip) geçen ay ingiltere'ye göçtü. gitmesine sebep ; büyük paralar kazanmak değil, sadece düzgün yaşamak. zaten googlelayanlar bilir; ingiltere'de doktor maaşıyla öyle zengin falan olamazsınız, sade/üstü bir hayat sürdürürsünüz. dil bilen genç hekimlerdeki gördüğüm temel gidis motivasyonu bu ülkede gelecek görememeleri, ve insan onuruna yakışır şekilde ev/tatil/çocuklarin eğitim ihtiyaçlarını sağlayamama korkusu ve maalesef şiddete uğrama korkusu.not: sn. fahrettin koca'nın gerek malpraktis davaları rücu süreci gerekse özlük hakları ile ilgili gönülden uğraştığını görüyorum. sn.bakan'ın çabalarken bir duvara tosladığını düşünüyorum. kendisine bu mecradan selamlar, saygılarımla.
  "
93,"
    doktor fanboyları yine kendilerini jiletliyor, ızdırabınızla güldürüyorsunuz, teşekkür ettik
  "
94,"
    umarım seneye içlerinde bulunurum. bu entry güncellenecektir.
  "
95,"
    iyi hal belgesi alırken sorduğumdauzmanlar da gidiyor ama asıl yeni mezunlardan aşırı talep var hocam dediler.1-almanya 2-dubai 3-amerika ingiltere avustralya'ya göç varmış.ben de gidiyorum. değer görmediğim yerde durmam.
  "
96,"
    belli bir yaşın üzerindeki tecrübeli hekimlere ve uzmanlara asla lafım yok. fakat yeni mezunların yüzde 80’i çöp kategorisinde. bunları kabul eden ülke varsa ben o ülkeye sadece acırım
  "
97,"
    yeni mezunlarin yuzde 80'i çöpmüş sayın hamam böceği yazara göre. ulan küçümsediğin yebi mezunlar 2 buçuk-3 milyon kişi arasında ilk 15 bine girenlerin çoğunu oluşturuyor. bunlar memleketin çalışkan çocukları, sınıf birincileri, okul dereceleri, övünmek için isimleri okullara asılan cocuklar. sistemden dolayı tıbbi bilgileri ve deneyimleri belki eksik olabilir ama ülkenin çalışkan kesimi gidiyor, hiç mi üzülmüyorsunuz?
  "
98,"
    (bkz: ya göç edecekler ya ölecekler)
  "
99,"
    kamuda olup imkan bulan ve gocmeyen var mi?kalan zaten cercop.sadece doktor degil, devlete yazdiginiz yaziya dogru duzgun yanit alamayacaksiniz.
  "
100,"
    (bkz: #140821739)o eğitim bedava değil, devletle halk mutual ilişki içindedir. vergi-hizmet, o kadar. şu abc'yi bir öğrenin de sonra fikir belirtin.gelen geçen racon, hoca, yol yordam gösterici oldu. ne demiş; başlarmış matematik netine, mesele mesleği icra edip etmemekmiş, yapmayacaksan seçme.. özelde çalışacaksan parayı bastırıp özelde oku. yurtdışına gideceksen git orada oku. buyurdu zat. bu kafaya nezaketle durum açıklanmaz.hekimlere uygulanan şiddet bu kişilere uygulansa en azından tıbbi olarak kişisel gelişimlerine katkıda bulunur.sağolsun teveccüh gösterip şiddete karşı hekimlere hak vermiş, eksik olma. eskiden, bu kafayla bu günlere iyi gelmişsin derdik fakat bu zihniyetle bu günlere gelebilmek artık kolay olan.
  "
101,"
    13 yıllık hekim olarak benim de hazırladığım aktivite.
  "
102,"
    koşulları iyileştirmek varken zorla tutma fikri hiçbir şekilde işe yaramaz. bunu hayatın her alanında görebilirsiniz. mesela amerika'nın matematik olimpiyatlarına gönderdiği insanlara bakabilirsiniz. yabancı ülkeler uyuşturucuyla mücadeleyi nasıl bir boyuta getirmiş, buna da bakabilirsiniz. ülkede bütün eğitim kurumları paralı olsa anlarım ama bir meslek grubu daha kolay gidiyor diye sınırlama getirmek çok saçma ve uzun vadede verimsiz bir fikir. bu yasayı geçirdiğiniz anda tıp puanları düşmeye başlar ve denk gelebileceğiniz 2-3 iyi doktoru da görememeye başlarsınız.
  "
103,"
    maalesef kardeşim ve eşinin de aralarına katılacağı göçtür. adam 15 yıllık uzman ve aynı zamanda cerrah. almanyada bir klinik ile irtibata geçildi, bir danışman firma aracılığı ile, gitti-geldi vs, işinin uzmanı zaten dil olayını da çözdü. ağustos başında işbaşı yap dediler, onay bekliyor, bunun üzerine de misafir olarak gel başla dediler ve önümüzdeki ay bilemedin ekim ayında oradalar inşaallah. bütün düzenlerini bırakıp çoluk-çocuk ile gitmeseler iyiydi ama ülkenin durumu da ortada. hayırlısı artık.
  "
104,"
    kalacaklar!döveriz de, söveriz de, gerekirse öldürürüz. ka la cak lar!bu ne ego, bu ne şımarıklık.iyi ki okumuşlar yani. kendilerini ne zannediyor doktorlar.kalacaklar ve onları bu bataklığa gömeceğiz.ağızlarına da sıçsak bize bakacaklar. sürünecekler yine de bakacaklar.kendilerini tanrı mı sanıyorlar da bana 3 ay ömür biçiyorlar.ama tanrı olacaklar ve beni ve tüm sülalemi kurtaracaklar.yoksa öldürürüm.(bkz: sarcasm)ayıları bile tedavi etmeden uyuşturucu iğne ile bayıltırlar. acaba burada ki insanları da hastahane kapısında bayıltsak mı ? nasılsa, neyin var desek cevap da veremeyecek...
  "
105,"
    20 yıllık cerrahlar kapıldı hala kalanları nasıl zorla tutarız derdinde ekşiciler.mevcut tabloda 20 sene gecmesi lazım aynı tecrübede bir cerrahın olması için. neyden bahsediyorsunuz siz? senin yerin dolar benim bir doktor olarak kolay kolay dolmaz kardeşim. dolamıyor işte yaşayarak öğreniyorsunuz.
  "
106,"
    artık hastanede tedavi olamıyorum. özel hastaneler de öyle bir fiyatlar biçiyor ki gidemiyorsun. ben bu ülkede okumuş orta sınıf insandım. çok övülen sağlık sistemi çöktü. amerika'dan beter hale geldik. doktorlara laf atan hiçbir baltaya sap olamamış ezikler, anlayacaksınız doktorun önemini.
  "
107,"
    türk hekimlerinin göçü en prestijli tıp dergisi the lancet’e de konu olmuş. tahminler ışığında 2022 sonuna kadar 3 bin türk hekimin daha türkiye'den ayrılması öngörülüyor. makaleye göre özellikle anestezi, acil bakım, kulak burun boğaz ve jinekoloji alanlarında türkiye’den ayrılma yönünde büyük bir trend olduğu belirtilmiş. görünen o ki türkiye sağlık sektöründeki bu nitelikli iş gücü kaybını, kısa vadede olmasa bile orta ve uzun vadede ciddi seviyede hissedecek.haberin linki
"
